"namaKerajaan,""ibuKota"",""agama"",""pendahulu"",""penerus"",""tahunMulai"",""wikidataID"""
"Yogyakarta Sultanate,""Yogyakarta"",""Kejawèn"",""Surakarta Sunanate"",""Special Region of Yogyakarta"",,""http://www.wikidata.org/entity/Q2114397"""
"Yogyakarta Sultanate,""Yogyakarta"",""Sunni Islam"",""Surakarta Sunanate"",""Special Region of Yogyakarta"",,""http://www.wikidata.org/entity/Q2114397"""
"Yogyakarta Sultanate,""Yogyakarta"",""Kejawèn"",""Mataram Sultanate"",""Special Region of Yogyakarta"",,""http://www.wikidata.org/entity/Q2114397"""
"Yogyakarta Sultanate,""Yogyakarta"",""Sunni Islam"",""Mataram Sultanate"",""Special Region of Yogyakarta"",,""http://www.wikidata.org/entity/Q2114397"""
"Surakarta Sunanate,""Surakarta"",""Kejawèn"",""Mataram Sultanate"",""Special Region of Surakarta"",,""http://www.wikidata.org/entity/Q2122499"""
"Duchy of Surabaya,""Surabaya"",""Islam"",""Demak Sultanate"",""Mataram Sultanate"",,""http://www.wikidata.org/entity/Q28163856"""
"Tanjungpura Kingdom,""Tanjungpura"",""Animism"",,""Indonesia"",,""http://www.wikidata.org/entity/Q3446232"""
"Tanjungpura Kingdom,""Tanjungpura"",""Sunni Islam"",,""Indonesia"",,""http://www.wikidata.org/entity/Q3446232"""
"Tanjungpura Kingdom,""Tanjungpura"",""Hindus"",,""Indonesia"",,""http://www.wikidata.org/entity/Q3446232"""
"Kingdom of Luwu,""Palopo"",""Animism"",,""Republic of Indonesia"",,"
"Kingdom of Luwu,""Malangke"",""Animism"",,""Republic of Indonesia"",,"
"Kingdom of Luwu,""Malangke"",""Hinduism"",,""Republic of Indonesia"",,"
"Kingdom of Luwu,""Malangke"",""Buddhism"",,""Republic of Indonesia"",,"
"Kingdom of Luwu,""Palopo"",""Buddhism"",,""Republic of Indonesia"",,"
"Kingdom of Luwu,""Palopo"",""Hinduism"",,""Republic of Indonesia"",,"
"Kingdom of Kaimana,""Kaimana"",""Sunni Islam"",,,,""http://www.wikidata.org/entity/Q104720744"""
"Kingdom of Bungku,,""Sunni Islam"",,""Dutch East Indies"",,"
"Malacca Sultanate,""Bintan Regency"",""Sunni Islam"",""Kingdom of Singapura"",""Johor Sultanate"",,""http://www.wikidata.org/entity/Q46652"""
"Malacca Sultanate,""Bintan Regency"",""Sunni Islam"",""Kingdom of Singapura"",""Portuguese Malacca"",,""http://www.wikidata.org/entity/Q46652"""
