"kerajaanLabel,orangLabel,peranLabel,ayahLabel,ibuLabel,pasanganLabel,anakLabel"
"Kesultanan Banjar,Soeria Kasoema,pejabat pemerintahan,,,,"
"Kerajaan Klungkung,Dewa Agung Jambe I,,,,,Dewa Agung Gede"
"Kerajaan Klungkung,Dewa Agung Jambe II,,Dewa Agung Putra III Bhatara Dalem,,,"
"Kerajaan Klungkung,Dewa Agung Putra I Kusamba,,Dewa Agung Åšakti,,,"
"Kerajaan Klungkung,Dewa Agung Putra III Bhatara Dalem,,,,,Dewa Agung Jambe II"
"Kesultanan Siak Sri Inderapura,Sultan Assyaidis Syarif Hasyim Abdul Jalil,,,,,"
"Kadipaten Surabaya,Jayalengkara,,,,,Pangeran Pekik"
"Kesultanan Banjar,Adam dari Banjar,Sultan Banjar,,,,"
"Kerajaan Mataram,Dyah Gula,,Rakai Warak,,,"
"Kesultanan Cirebon,Rara Santang,,Sri Baduga Maharaja,,Syarif Abdullah Umdatuddin,Sunan Gunung Jati"
"Kerajaan Sunda,Rara Santang,,Sri Baduga Maharaja,,Syarif Abdullah Umdatuddin,Sunan Gunung Jati"
"Majapahit,Mpu Tantular,,,,,"
"Kesultanan Banjar,Surya Alam dari Banjar,Sultan Banjar,Tahlilullah,,,Tamjidillah I dari Banjar"
"Kerajaan Klungkung,Dewa Agung Putra II,,,,,"
"Kesultanan Banjar,Inayatullah dari Banjar,Sultan Banjar,Mustain Billah dari Banjar,,,Sultan Agung dari Banjar"
"Kesultanan Banjar,Hamidullah dari Banjar,Sultan Banjar,,,,"
"Kesultanan Banjar,Inayatullah dari Banjar,Sultan Banjar,Mustain Billah dari Banjar,,,Saidullah dari Banjar"
"Majapahit,Kusumawardhani,,,,Wikramawardhana,"
"Kesunanan Surakarta,Kanjeng Raden Mas Haryo Wuryaningrat,Ketua,,,,"
"Majapahit,Sunan Mertayasa,,Maulana Ishaq,,,"
"Kesultanan Banjar,Tamjidillah I dari Banjar,Sultan Banjar,Surya Alam dari Banjar,,,Tahmidullah II dari Banjar"
"Kesunanan Surakarta,Kanjeng Raden Mas Haryo Wuryaningrat,anggota parlemen,,,,"
"Kesultanan Siak Sri Inderapura,Sayyid Usman Syahabuddin,syekh,,,,Sultan Syarif Abdurrahman"
"Kesultanan Banjar,Muhammad Seman dari Banjar,Sultan Banjar,,,,"
